time1,Instantaneous value of horizontal radiation,time2,Instantaneous value of inclined radiation,time3,Instantaneous value of scattered radiation,time4,Direct radiation instantaneous value,time5,WindSpeed,time6,WindDirection,time7,Temperature,time8,Pressure,time9,Humidity,time10,ComponentTemp,time11,P1
2024/1/1 23:00,0,2024/1/1 23:00,0,2024/1/1 23:00,0,2024/1/1 23:00,0,2024/1/1 23:00,0,2024/1/1 23:00,0,2024/1/1 23:00,0,2024/1/1 23:00,0,2024/1/1 23:00,0,2024/1/1 23:00,0,2024/1/1 23:00,0
2024/1/1 23:10,0,2024/1/1 23:10,0,2024/1/1 23:10,0,2024/1/1 23:10,0,2024/1/1 23:10,0,2024/1/1 23:10,0,2024/1/1 23:10,0,2024/1/1 23:10,0,2024/1/1 23:10,0,2024/1/1 23:10,0,2024/1/1 23:10,0
2024/1/1 23:20,0,2024/1/1 23:20,0,2024/1/1 23:20,0,2024/1/1 23:20,0,2024/1/1 23:20,0,2024/1/1 23:20,0,2024/1/1 23:20,0,2024/1/1 23:20,0,2024/1/1 23:20,0,2024/1/1 23:20,0,2024/1/1 23:20,0
2024/1/1 23:30,0,2024/1/1 23:30,0,2024/1/1 23:30,0,2024/1/1 23:30,0,2024/1/1 23:30,0,2024/1/1 23:30,0,2024/1/1 23:30,0,2024/1/1 23:30,0,2024/1/1 23:30,0,2024/1/1 23:30,0,2024/1/1 23:30,0
2024/1/1 23:40,0,2024/1/1 23:40,0,2024/1/1 23:40,0,2024/1/1 23:40,0,2024/1/1 23:40,0,2024/1/1 23:40,0,2024/1/1 23:40,0,2024/1/1 23:40,0,2024/1/1 23:40,0,2024/1/1 23:40,0,2024/1/1 23:40,0
2024/1/1 23:50,0,2024/1/1 23:50,0,2024/1/1 23:50,0,2024/1/1 23:50,0,2024/1/1 23:50,0,2024/1/1 23:50,0,2024/1/1 23:50,0,2024/1/1 23:50,0,2024/1/1 23:50,0,2024/1/1 23:50,0,2024/1/1 23:50,0
2024/1/2 0:00,0,2024/1/2 0:00,0,2024/1/2 0:00,0,2024/1/2 0:00,0,2024/1/2 0:00,0,2024/1/2 0:00,0,2024/1/2 0:00,0,2024/1/2 0:00,0,2024/1/2 0:00,0,2024/1/2 0:00,0,2024/1/2 0:00,0
2024/1/2 0:10,0,2024/1/2 0:10,0,2024/1/2 0:10,0,2024/1/2 0:10,0,2024/1/2 0:10,0,2024/1/2 0:10,0,2024/1/2 0:10,0,2024/1/2 0:10,0,2024/1/2 0:10,0,2024/1/2 0:10,0,2024/1/2 0:10,0
2024/1/2 0:20,0,2024/1/2 0:20,0,2024/1/2 0:20,0,2024/1/2 0:20,0,2024/1/2 0:20,0,2024/1/2 0:20,0,2024/1/2 0:20,0,2024/1/2 0:20,0,2024/1/2 0:20,0,2024/1/2 0:20,0,2024/1/2 0:20,0
2024/1/2 0:30,0,2024/1/2 0:30,0,2024/1/2 0:30,0,2024/1/2 0:30,0,2024/1/2 0:30,0,2024/1/2 0:30,0,2024/1/2 0:30,0,2024/1/2 0:30,0,2024/1/2 0:30,0,2024/1/2 0:30,0,2024/1/2 0:30,0
2024/1/2 0:40,0,2024/1/2 0:40,0,2024/1/2 0:40,0,2024/1/2 0:40,0,2024/1/2 0:40,0,2024/1/2 0:40,0,2024/1/2 0:40,0,2024/1/2 0:40,0,2024/1/2 0:40,0,2024/1/2 0:40,0,2024/1/2 0:40,0
2024/1/2 0:50,0,2024/1/2 0:50,0,2024/1/2 0:50,0,2024/1/2 0:50,0,2024/1/2 0:50,0,2024/1/2 0:50,0,2024/1/2 0:50,0,2024/1/2 0:50,0,2024/1/2 0:50,0,2024/1/2 0:50,0,2024/1/2 0:50,0
2024/1/2 1:00,0,2024/1/2 1:00,0,2024/1/2 1:00,0,2024/1/2 1:00,0,2024/1/2 1:00,0,2024/1/2 1:00,0,2024/1/2 1:00,0,2024/1/2 1:00,0,2024/1/2 1:00,0,2024/1/2 1:00,0,2024/1/2 1:00,0
